date,debit_account,debit_name,debit_inn,credit_account,credit_name,credit_inn,debit_amount,credit_amount,purpose,risk,risk_comment
2025-08-29 01:38:02,40702810900000123456,"ООО ""СтройГарант""",7712345678,98084124118244935348,Сидоров В.В.,647468723430,40737.36,,Оплата электроэнергии по счёту №21446 от 28.08.2025,Высокий,Перевод физическому лицу без очевидного договора/назначения
2025-09-30 17:00:02,40702810900000123456,"ООО ""СтройГарант""",7712345678,31647525534192832764,"ООО ""АудитКонсалт""",7704343434,915352.99,,"Разовый перевод, основание: возврат аванса",Низкий,Возврат по счёту/корректировка
2025-08-22 15:57:57,35615951484656482366,"ООО ""Фирма_1002""",2994680443,40702810900000123456,"ООО ""СтройГарант""",7712345678,,1923078.2,"Оплата по договору на поставку №5100, оплата по счету №3442 от 21.08.2025",Средний,Операция стандартного типа — рекомендована сверка документов
2025-08-03 23:56:55,40702810900000123456,"ООО ""СтройГарант""",7712345678,61317127484677378263,"ООО ""Фирма_1019""",9821465840,237604.63,,"Разовый перевод, основание: компенсация затрат по акту",Средний,Операция стандартного типа — рекомендована сверка документов
2025-09-07 06:09:21,40702810900000123456,"ООО ""СтройГарант""",7712345678,56232858842474517123,"ООО ""Фирма_1025""",6851604817,198082.6,,Оплата электроэнергии по счёту №38593 от 31.08.2025,Низкий,Регулярная обязательная выплата
2025-09-21 11:15:07,38637940265423511615,"ООО ""МеталПро""",7741313131,40702810900000123456,"ООО ""СтройГарант""",7712345678,,189518.01,"Разовый приход: оплата по счёту №88127, основание: корректировка по бухгалтерской ошибке",Низкий,Возврат по счёту/корректировка
2025-09-08 12:20:59,39005329318393352904,"ООО ""Фирма_1028""",2284210205,40702810900000123456,"ООО ""СтройГарант""",7712345678,,98701.63,"Разовый приход: оплата по счёту №83559, основание: погашение задолженности по устной договоренности",Средний,Операция стандартного типа — рекомендована сверка документов
2025-09-18 00:42:54,35615951484656482366,"ООО ""Фирма_1002""",2994680443,40702810900000123456,"ООО ""СтройГарант""",7712345678,,944962.69,"Разовый приход: оплата по счёту №7378, основание: проведение расчетов по накладной",Средний,Операция стандартного типа — рекомендована сверка документов
2025-09-09 22:20:11,40702810900000123456,"ООО ""СтройГарант""",7712345678,98084124118244935348,Сидоров В.В.,647468723430,869777.01,,"Оплата услуг по договору №US-6590 от 09.09.2025, акт №94600 от 09.09.2025",Средний,Крупная сумма за услуги — проверьте акт оказанных услуг
2025-08-26 06:43:13,40702810900000123456,"ООО ""СтройГарант""",7712345678,10310518347382997376,"АО ""Банк Финанс""",7733333333,818676.36,,Выплата заработной платы за августа 2025 по ведомости №7756,Низкий,Выплата заработной платы по ведомости
2025-09-02 08:13:18,40702810900000123456,"ООО ""СтройГарант""",7712345678,10433218196001338908,"ООО ""ТехноПоставка""",7701987654,455216.38,,"Перечисление НДС за сентября 2025, платежное поручение 7387",Низкий,Регулярная обязательная выплата
2025-09-22 09:51:37,40702810900000123456,"ООО ""СтройГарант""",7712345678,28498776945314737996,"ООО ""Фирма_1010""",5075273545,24052.66,,"Разовый перевод, основание: компенсация затрат по акту",Средний,Операция стандартного типа — рекомендована сверка документов
2025-09-20 19:17:55,40702810900000123456,"ООО ""СтройГарант""",7712345678,23226025634216073375,"ООО ""Фирма_1000""",4330365414,462002.82,,"Разовый перевод, основание: возврат аванса",Низкий,Возврат по счёту/корректировка
2025-09-26 05:21:12,40702810900000123456,"ООО ""СтройГарант""",7712345678,83503056413953767242,"ООО ""РегионТорг""",7734949494,104255.67,,Оплата электроэнергии по счёту №79344 от 16.09.2025,Низкий,Регулярная обязательная выплата
2025-09-04 18:21:52,40702810900000123456,"ООО ""СтройГарант""",7712345678,44997278755886753396,"ООО ""Фирма_1020""",3605766270,750249.29,,"Разовый перевод, основание: возврат аванса",Низкий,Возврат по счёту/корректировка
2025-08-05 13:19:28,40702810900000123456,"ООО ""СтройГарант""",7712345678,38637940265423511615,"ООО ""МеталПро""",7741313131,89852.48,,"Оплата услуг по договору №US-3361 от 05.08.2025, акт №90246 от 05.08.2025",Низкий,Оплата услуг по договору
2025-08-05 02:31:12,40702810900000123456,"ООО ""СтройГарант""",7712345678,38637940265423511615,"ООО ""МеталПро""",7741313131,50801.9,,"Оплата услуг по договору №US-759 от 05.08.2025, акт №98364 от 31.07.2025",Низкий,Оплата услуг по договору
2025-09-06 03:04:52,40702810900000123456,"ООО ""СтройГарант""",7712345678,39005329318393352904,"ООО ""Фирма_1028""",2284210205,150349.77,,Оплата электроэнергии по счёту №6611 от 30.08.2025,Низкий,Регулярная обязательная выплата
2025-08-31 02:48:45,40702810900000123456,"ООО ""СтройГарант""",7712345678,54965137098593174612,"ООО ""Фирма_1026""",47113826,844091.68,,"Перечисление НДС за августа 2025, платежное поручение 3922",Низкий,Регулярная обязательная выплата
2025-09-15 17:49:44,40702810900000123456,"ООО ""СтройГарант""",7712345678,80531003309232719374,"ООО ""Фирма_1008""",5299124190,535626.93,,"Оплата по контракту №5126 от 15.09.2025, предоплата 50% по счёту №27517",Средний,Операция стандартного типа — рекомендована сверка документов
