date,debit_inn,credit_inn,amount,purpose,hbos_score,copod_score
2024-12-03,d877722ca4e40f98,d877722ca4e40f98,1000.0,перевод средств между счетами сумма 1000-00 без налога (ндс),0.8025402254089247,0.9999999999885413
2024-07-05,d877722ca4e40f98,d877722ca4e40f98,3000.0,перевод средств между счетами сумма 3000-00 без налога (ндс),0.8126216049000714,0.9940938039862219
2023-06-13,d877722ca4e40f98,d877722ca4e40f98,30000.0,перевод средств между счетами сумма 30000-00 без налога (ндс),0.8673032095240006,0.9889341952487237
2022-12-14,d877722ca4e40f98,d877722ca4e40f98,1500.0,перевод средств между счетами сумма 1500-00 без налога (ндс),0.8167717061319942,0.9728376523134882
2019-10-31,89e588b9010869a4,d877722ca4e40f98,300000.0,оплата по договор_aa2bdccd4f22 беспроцентного займа №пи-19/041019 от 04.10.19г сумма 300000-00 без налога (ндс),0.884526517429447,0.9587028587085284
2019-12-11,8d9e0be733f77f1c,d877722ca4e40f98,20000000.0,поступление займа от учредителя 20000000.00,0.8163350847289318,0.9566276848793376
2020-10-05,9d8f54ae3b88911b,d877722ca4e40f98,50000.0,оплата по договору беспроцентного займа №ти-21/051020 от 05.10.20г сумма 50000-00 без налога (ндс),0.9080170527966485,0.9515009146566048
2021-06-30,80799e1a6646b6dc,d877722ca4e40f98,17297150.0,"acc_cd27e0d43c60;ст. 176 нк рф, год: 2021 решение n 43021 от date_c360e6c8d02f наименование: ооо ""инкриз"", инн: inn_d877722ca4e4, кпп: 650101001 наименование но: межрайонная инспекция федеральной налоговой службы n 1 по",0.5507316519601968,0.9475959502749022
2020-11-05,9d8f54ae3b88911b,d877722ca4e40f98,30000.0,оплата по договору беспроцентного займа №ти-21/051020 от 05.10.20г сумма 30000-00 без налога (ндс),0.980153292057474,0.9439293918548676
2019-10-18,89e588b9010869a4,d877722ca4e40f98,30000.0,оплата по договор_aa2bdccd4f22 беспроцентного займа №пи-19/041019 от 04.10.19г сумма 30000-00 без налога (ндс),0.8788575174192661,0.942786605550779
2020-06-29,80799e1a6646b6dc,d877722ca4e40f98,9917623.0,"acc_cd27e0d43c60;возмещение ндс за 1 квартал 2020 ст. 176 нк рф, год: 2020 решение n 248423 от date_35cbf8d4fb82 наименование: ооо ""инкриз"", инн: inn_d877722ca4e4, кпп: 650101001 наименование но: межрайонная инспекция ф",0.5771626198557673,0.9423250768475195
2024-02-02,d877722ca4e40f98,d877722ca4e40f98,157000.0,перевод средств между счетами сумма 157000-00 без налога (ндс),0.774490350174387,0.9372955450970779
2019-04-30,89e588b9010869a4,d877722ca4e40f98,10000.0,оплата по договор_aa2bdccd4f22 беспроцентного займа №пи-16/220419 от 22.04.19 сумма 10000-00 без налога (ндс),0.7709940826786469,0.9284035392403713
2020-04-28,8d9e0be733f77f1c,d877722ca4e40f98,723000.0,без процентный займ от учредителя,0.7658295995819742,0.9269148948752348
2023-01-09,d877722ca4e40f98,d877722ca4e40f98,3000.0,перевод средств между счетами сумма 3000-00 без налога (ндс),0.7888191080846041,0.9241628710335148
2021-07-23,7ad54077510c09e4,d877722ca4e40f98,10000.0,выдача займа по договору №4-си/170621 от date_8b1fbb2a73df сумма 10000-00 без налога (ндс),0.8308790996098332,0.9208487728880567
